local,scene_id,storeys
hssd_0001,102343992,2
hssd_0002,102344022,1
hssd_0003,102344049,1
hssd_0004,102344094,1
hssd_0005,102344115,1
hssd_0006,102344193,1
hssd_0007,102344250,1
hssd_0008,102344280,1
hssd_0009,102344307,1
hssd_0010,102344328,1
hssd_0011,102344403,1
hssd_0012,102344439,1
hssd_0013,102344457,1
hssd_0014,102344469,1
hssd_0015,102344529,1
hssd_0016,102815835,1
hssd_0017,102815859,1
hssd_0018,102816009,1
hssd_0019,102816036,1
hssd_0020,102816051,1
hssd_0021,102816066,1
hssd_0022,102816114,1
hssd_0023,102816216,1
hssd_0024,102816600,3
hssd_0025,102816615,1
hssd_0026,102816627,1
hssd_0027,102816729,1
hssd_0028,102816756,1
hssd_0029,102816786,1
hssd_0030,102816852,1
hssd_0031,102817053,1
hssd_0032,102817140,1
hssd_0033,102817200,1
hssd_0034,103997403_171030405,1
hssd_0035,103997424_171030444,1
hssd_0036,103997445_171030492,1
hssd_0037,103997460_171030507,1
hssd_0038,103997478_171030525,1
hssd_0039,103997478_171030528,1
hssd_0040,103997541_171030615,1
hssd_0041,103997562_171030642,1
hssd_0042,103997586_171030666,1
hssd_0043,103997586_171030669,1
hssd_0044,103997613_171030702,1
hssd_0045,103997643_171030747,1
hssd_0046,103997718_171030855,1
hssd_0047,103997781_171030978,1
hssd_0048,103997799_171031002,1
hssd_0049,103997895_171031182,1
hssd_0050,103997919_171031233,1
hssd_0051,103997940_171031257,1
hssd_0052,103997970_171031287,1
hssd_0053,103997994_171031320,1
hssd_0054,104348010_171512832,1
hssd_0055,104348028_171512877,1
hssd_0056,104348037_171512898,1
hssd_0057,104348082_171512994,1
hssd_0058,104348133_171513054,1
hssd_0059,104348160_171513093,1
hssd_0060,104348181_171513120,1
hssd_0061,104348202_171513150,1
hssd_0062,104348253_171513237,1
hssd_0063,104348328_171513363,1
hssd_0064,104348361_171513414,1
hssd_0065,104348394_171513453,1
hssd_0066,104348463_171513588,1
hssd_0067,104348511_171513654,1
hssd_0068,104862384_172226319,1
hssd_0069,104862396_172226349,1
hssd_0070,104862417_172226382,1
hssd_0071,104862501_172226556,1
hssd_0072,104862513_172226580,1
hssd_0073,104862534_172226625,1
hssd_0074,104862558_172226664,1
hssd_0075,104862573_172226682,1
hssd_0076,104862621_172226772,1
hssd_0077,104862639_172226823,1
hssd_0078,104862660_172226844,1
hssd_0079,104862669_172226853,1
hssd_0080,104862681_172226874,1
hssd_0081,104862687_172226883,1
hssd_0082,105515151_173104068,1
hssd_0083,105515160_173104077,1
hssd_0084,105515175_173104107,2
hssd_0085,105515184_173104128,1
hssd_0086,105515211_173104179,1
hssd_0087,105515211_173104185,1
hssd_0088,105515235_173104215,1
hssd_0089,105515286_173104287,1
hssd_0090,105515301_173104305,1
hssd_0091,105515307_173104317,1
hssd_0092,105515337_173104347,1
hssd_0093,105515379_173104395,1
hssd_0094,105515403_173104449,1
hssd_0095,105515430_173104494,1
hssd_0096,105515448_173104512,1
hssd_0097,105515490_173104566,1
hssd_0098,105515505_173104584,1
hssd_0099,105515541_173104641,1
hssd_0100,106365897_174225972,1
hssd_0101,106366104_174226329,1
hssd_0102,106366104_174226332,1
hssd_0103,106366134_174226362,1
hssd_0104,106366173_174226431,1
hssd_0105,106366248_174226527,1
hssd_0106,106366263_174226557,1
hssd_0107,106366302_174226617,1
hssd_0108,106366323_174226647,1
hssd_0109,106366353_174226695,1
hssd_0110,106366371_174226743,1
hssd_0111,106366386_174226770,1
hssd_0112,106366410_174226806,1
hssd_0113,106366434_174226881,1
hssd_0114,106878858_174886965,1
hssd_0115,106878867_174886977,1
hssd_0116,106878915_174887025,1
hssd_0117,106878945_174887058,1
hssd_0118,106878960_174887073,1
hssd_0119,106879005_174887124,1
hssd_0120,106879023_174887148,2
hssd_0121,106879044_174887172,1
hssd_0122,106879080_174887211,1
hssd_0123,107733912_175999623,1
hssd_0124,107733960_175999701,1
hssd_0125,107734017_175999794,1
hssd_0126,107734056_175999839,1
hssd_0127,107734080_175999881,1
hssd_0128,107734110_175999914,1
hssd_0129,107734119_175999932,1
hssd_0130,107734119_175999935,1
hssd_0131,107734119_175999938,1
hssd_0132,107734146_175999971,2
hssd_0133,107734158_175999998,2
hssd_0134,107734176_176000019,1
hssd_0135,107734188_176000034,1
hssd_0136,107734227_176000091,1
hssd_0137,107734254_176000121,1
hssd_0138,107734287_176000160,1
hssd_0139,107734338_176000244,1
hssd_0140,107734449_176000403,1
hssd_0141,107734479_176000442,1
hssd_0142,108294417_176709879,1
hssd_0143,108294465_176709960,1
hssd_0144,108294537_176710050,1
hssd_0145,108294558_176710095,1
hssd_0146,108294573_176710113,1
hssd_0147,108294624_176710203,1
hssd_0148,108294684_176710278,1
hssd_0149,108294765_176710386,1
hssd_0150,108294783_176710410,1
hssd_0151,108294798_176710428,1
hssd_0152,108294816_176710461,1
hssd_0153,108294846_176710506,1
hssd_0154,108294870_176710551,1
hssd_0155,108294897_176710602,1
hssd_0156,108294939_176710668,2
hssd_0157,108736611_177263226,1
hssd_0158,108736635_177263256,1
hssd_0159,108736656_177263304,1
hssd_0160,108736689_177263340,1
hssd_0161,108736722_177263382,1
hssd_0162,108736737_177263406,1
hssd_0163,108736779_177263484,1
hssd_0164,108736800_177263517,1
hssd_0165,108736824_177263559,1
hssd_0166,108736851_177263586,1
hssd_0167,108736872_177263607,1
hssd_0168,108736884_177263634,1
