hssd_category,material_class,assignment,objects
seat,upholstery,curated,1324
picture,wood_thin_panel,curated,1178
book,paper,curated,1138
lamp,metal,curated,1110
table,wood_furniture,curated,1094
carpet,carpet_thick,curated,881
cabinet,wood_furniture,curated,871
decoration,generic_hard,curated,636
pillow,soft_furnishing,curated,525
bed,mattress,curated,442
mirror,mirror_glass,curated,394
plant,foliage,curated,378
dresser,wood_furniture,curated,369
shelf,wood_furniture,curated,364
couch,upholstery,curated,357
vase,ceramic_hard,curated,269
stool,wood_furniture,curated,227
cup,ceramic_hard,curated,184
unknown,generic_hard,curated,183
wardrobe,wood_furniture,curated,176
bench,wood_furniture,curated,165
candle,metal,curated,159
clock,generic_hard,curated,157
curtain,soft_furnishing,curated,156
rack,wood_furniture,curated,152
flowerpot,ceramic_hard,curated,141
box,generic_hard,curated,138
desk,wood_furniture,curated,116
basket,generic_hard,curated,107
painting,wood_thin_panel,curated,103
bin,generic_hard,curated,100
bathtub,ceramic_hard,curated,95
container,generic_hard,curated,92
bowl,ceramic_hard,curated,87
sink_cabinet,wood_furniture,curated,87
toy,plush,curated,85
towel,soft_furnishing,curated,82
bottle,ceramic_hard,curated,78
toilet,ceramic_hard,curated,73
picture_frame,wood_thin_panel,curated,71
shower,ceramic_hard,curated,67
hanger,wood_furniture,curated,66
nightstand,wood_furniture,curated,66
gym_equipment,generic_hard,curated,65
plate,ceramic_hard,curated,64
stand,wood_furniture,curated,64
tray,ceramic_hard,curated,64
counter,wood_furniture,curated,58
fridge,appliance,curated,56
kitchen_appliance,appliance,curated,56
tv,appliance,curated,51
drawer,wood_furniture,curated,50
shoe,soft_furnishing,curated,50
chandelier,metal,curated,47
tree,foliage,curated,47
bag,generic_hard,curated,46
person,human,curated,45
sink,ceramic_hard,curated,45
#N/A,generic_hard,curated,43
pot,ceramic_hard,curated,43
tap,ceramic_hard,curated,41
fireplace,ceramic_tile,curated,40
coat_hanger,wood_furniture,curated,38
drawer_desk,wood_furniture,curated,36
window_shade,wood_panel,curated,35
board,wood_panel,curated,34
kitchen_utensil,generic_hard,curated,34
blanket,soft_furnishing,curated,32
door,wood_panel,curated,32
appliance,appliance,curated,31
book_rack,wood_furniture,curated,30
desk_and_chairs,wood_furniture,curated,30
statue,generic_hard,curated,29
clothes,soft_furnishing,curated,28
towel_rack,wood_furniture,curated,28
chest,wood_furniture,curated,26
shower_tap,ceramic_hard,curated,25
bathroom_utensil,generic_hard,curated,24
kitchen_lower_cabinet,wood_furniture,curated,24
laptop,appliance,curated,24
swing,wood_panel,curated,24
